Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
17,Ryan Arcidiacono,PG,24,CHI,29,18,28.5,2.4,5.5,0.447,1.6,3.8,0.405,0.9,1.7,0.542,0.588,0.7,0.9,0.8,0.3,2.5,2.8,3.8,1,0,1,2.6,7.1
18,Trevor Ariza,SF,33,PHO,26,26,34,3.3,8.7,0.379,1.9,5.3,0.36,1.4,3.4,0.409,0.489,1.4,1.7,0.837,0.6,5,5.6,3.3,1.5,0.3,1.5,1.7,9.9
19,D.J. Augustin,PG,31,ORL,29,29,27.6,3.4,7.5,0.45,1.6,3.7,0.439,1.8,3.8,0.459,0.557,1.9,2.2,0.875,0.5,1.8,2.3,5,0.4,0,1.3,1.2,10.3
20,Deandre Ayton,C,20,PHO,30,29,30.6,6.9,11.7,0.585,0,0.1,0,6.9,11.7,0.589,0.585,1.8,2.4,0.753,2.5,7.6,10.1,2.5,0.6,0.9,1.9,2.9,15.6
21,Dwayne Bacon,SG,23,CHO,16,0,12.6,2.3,4.4,0.514,0.6,1.2,0.526,1.6,3.2,0.51,0.586,0.6,0.8,0.833,0.1,1.7,1.8,0.9,0.2,0,0.5,1.4,5.8
22,Marvin Bagley,PF,19,SAC,26,0,23.1,4.8,9,0.536,0.3,1,0.346,4.5,8,0.56,0.556,2.7,4,0.683,2.4,3.7,6.1,0.9,0.4,1,1.7,2,12.7
23,Ron Baker,SG,25,NYK,11,0,9.7,0.4,1.5,0.25,0.1,0.8,0.111,0.3,0.6,0.429,0.281,0.5,0.5,0.833,0.1,0.5,0.6,1.2,0.5,0,0.3,1.5,1.3
24,Wade Baldwin,PG,22,POR,9,0,5.7,0.4,2,0.222,0.1,0.6,0.2,0.3,1.4,0.231,0.25,0.1,0.1,1,0.1,0.8,0.9,0.9,0,0.2,0.9,0.3,1.1
25,Lonzo Ball,PG,21,LAL,30,28,28.9,3.4,8.7,0.391,1.3,4.2,0.307,2.1,4.5,0.47,0.466,0.5,0.8,0.56,1.1,4.1,5.2,5,1.5,0.4,2.1,2.2,8.6
26,Mohamed Bamba,C,20,ORL,28,0,16.9,2.8,5.7,0.488,0.6,1.9,0.346,2.1,3.9,0.556,0.544,0.5,0.9,0.625,1.4,3.3,4.6,1.1,0.3,1.4,0.8,2.1,6.8
27,J.J. Barea,PG,34,DAL,25,0,19.4,4.5,10.2,0.441,1,3.1,0.308,3.6,7.1,0.5,0.488,1.4,2,0.706,0.3,2.1,2.4,5.4,0.6,0,1.7,1.3,11.4
28,Harrison Barnes,SF,26,DAL,24,24,31.5,6,14.7,0.412,2.5,6.2,0.405,3.5,8.5,0.417,0.497,3.2,4,0.8,0.8,3.5,4.3,1.2,0.8,0.3,1.6,1.7,17.8
